,Star Name,Distance,Mass,Radius
139,HB 2124-4228,113.0,5.38387632e-35,1.6750369e-12
140,2MASS J21392676+0220226,32.1,2.63466288e-35,1.3256427e-12
141,2MASS J21481628+4003593,26.3,3.1501404e-35,1.3667479e-12
142,2MASSW J2206450-421721,93.0,1.26005616e-35,1.849734e-12
143,2MASSW J2208136+292121,154.0,1.54643256e-35,1.952497e-12
144,2MASSW J2224438-015852,38.0,3.4937920800000003e-35,1.3667479e-12
145,2MASS J22282889-4310262,35.0,2.40556176e-35,1.3050901e-12
146,2MASS J22373255+3922398,64.0,4.1715495600000007e-35,1.4386819999999998e-12
147,2MASSW J2244316+204343,56.0,6.863487720000001e-36,1.7777999e-12
148,2MASS J23224684-3133231,56.0,1.37460672e-35,1.9319443999999997e-12
149,2MASS J23225299-6151275,148.0,9.736797600000001e-36,2.1991281999999995e-12
150,2MASS J23515044-2537367,67.0,5.04022464e-35,1.6031028e-12
151,2MASSI J2356547-155310,74.0,4.5820224000000006e-35,1.5208924e-12
152,WISE 0410+1502,20.0,3.4365168e-36,1.6236554e-12
153,WISE 0458+6434A,35.9,8.55310848e-36,5.816385799999999e-12
154,WISE 0458+6434B,35.9,5.727528000000001e-36,5.2717419e-12
155,WISE 1405+5534,25.3,1.7182584000000001e-35,1.1920508e-12
